id;ref_site_web;datedesicion;importateur;ref_bf;marque;modele;numero_serie;imei_1;imei_2;imei_3;statut;date_creation;date_depot_site_web;date_validation;date_export;commentaire
1;transmitting executive;2021-08-10;Gloves Handmade open-source;explicit SDD Account;Plastic;Hongrie;Paraguay connecting;Towels content-based GB;Small;cross-platform;EN_COURS;2021-08-10;2021-08-10;2021-08-10;2021-08-10;enable
2;utilize Soap Mouse;2021-08-11;reintermediate a Sleek;sticky Account;Île-de-France;Open-architected PNG HDD;Gorgeous;killer SMTP a;generate;logistical Shirt;REFUSER;2021-08-11;2021-08-11;2021-08-10;2021-08-10;lavender
3;Analyste applications override;2021-08-10;payment;monitoring Sausages groupware;backing Incredible;hard hard;Wooden Pants Faubourg;Marcadet b bypass;systems Rustic;frictionless;EN_COURS;2021-08-10;2021-08-10;2021-08-11;2021-08-11;Architecte tan
4;mobile;2021-08-11;Administrateur;transmit;reboot Molière c;a Investment Ouganda;Automotive;Small;Grèce;deposit Executif override;EN_COURS;2021-08-10;2021-08-11;2021-08-11;2021-08-11;Handcrafted European Kwacha
5;payment Delesseux haptic;2021-08-10;b Estonie Grenade;Ergonomic Languedoc-Roussillon;Poitou-Charentes;Dirham b Uruguayo;digital Bike navigate;Hat;plum;c Technicien;REFUSER;2021-08-11;2021-08-10;2021-08-10;2021-08-10;bypass Franche-Comté
6;Executif Concrete;2021-08-11;bypassing;Pizza copy Shoes;functionalities Moldavie hierarchy;wireless;architecture Ngultrum Monaco;generate vortals calculating;portals b;Tanzanie;ACCEPTER;2021-08-10;2021-08-11;2021-08-10;2021-08-11;Rustic optical EXE
7;SMS neural RAM;2021-08-11;Plastic a Steel;grid-enabled Optional Table;copying;a Alsace Soap;navigating Bedfordshire;Manager;d'Assas Cross-group;Tools port;REFUSER;2021-08-11;2021-08-10;2021-08-11;2021-08-10;Ingenieur Centre Proactive
8;generating Australian;2021-08-10;compelling grey;vortals;blue SQL world-class;productize generating;Architecte;Île-de-France;Fantastic panel Picardie;Money disintermediate;EN_COURS;2021-08-11;2021-08-11;2021-08-11;2021-08-10;user-centric Midi-Pyrénées
9;c Loan;2021-08-10;Bûcherie Keyboard;monitor metrics salmon;object-oriented Card Centre;SMS Toys;connect;Market deliver;Account;Berkshire;EN_COURS;2021-08-10;2021-08-10;2021-08-11;2021-08-11;synergize c c
10;program;2021-08-11;Computers;deposit Sausages firewall;a Synergized;virtual Tuna;circuit Salad Picardie;generating e-business applications;withdrawal Berkshire Tuna;Bedfordshire Solomon calculating;ACCEPTER;2021-08-11;2021-08-10;2021-08-11;2021-08-11;Synergized
